CP;lat/ln;Distance (meters);Zona;Tarifa
1049;19.35362603, -99.19664528;3.549858686;Sur1;60
1109;19.39149597, -99.20779958;3.358611633;Poniente;60
1120;19.40023811, -99.20155058;3.314292067;Poniente;60
1125;19.39696137, -99.20671033;3.530175114;Poniente;60
1160;19.38774294, -99.20376032;2.819934439;Poniente;60
1180;19.38922523, -99.19274354;1.832106705;Centro;40
1200;19.38672406, -99.21716;4.163082081;Poniente;60
1230;19.3789864, -99.24251037;6.762220141;Poniente;90
1239;19.37963825, -99.23957832;6.453488258;Poniente;90
1276;19.3801467, -99.21767397;4.155450334;Poniente;60
1279;19.3848555, -99.21948982;4.37519339;Poniente;60
1280;19.38383744, -99.20562248;2.917822977;Poniente;60
1299;19.3754018, -99.22636983;5.096865381;Poniente;60
1310;19.38165408, -99.25169469;7.725413947;Poniente;90
1340;19.3808806, -99.24553901;7.078570029;Poniente;90
1400;19.37419716, -99.2069092;3.101554186;Poniente;60
1407;19.37098459, -99.22429128;4.959146256;Poniente;60
1440;19.3708678, -99.20895449;3.406502565;Poniente;60
1450;19.37029526, -99.21201708;3.731953363;Poniente;60
1480;19.36804124, -99.20290891;2.941832869;Poniente;60
1490;19.37026316, -99.19704297;2.283030116;Centro;40
1500;19.35553215, -99.2540592;8.435039647;Sur1;90
1520;19.36605181, -99.24162801;6.854071038;Poniente;90
1540;19.35844337, -99.24229713;7.163705485;Poniente;90
1600;19.36519878, -99.20226654;3.044598359;Poniente;60
1618;19.36078352, -99.22365589;5.25262654;Poniente;60
1619;19.35997452, -99.22529452;5.446351858;Poniente;60
1640;19.35781535, -99.22948876;5.9464332;Poniente;60
1708;19.34398579, -99.22857542;6.662834188;Sur1;90
1720;19.34212843, -99.24357438;8.078229023;Sur1;90
1750;19.35512388, -99.22213414;5.405298128;Sur1;60
1759;19.3491968, -99.21977458;5.578106792;Sur1;60
1760;19.349559, -99.20897797;4.712544318;Sur1;60
1780;19.33710725, -99.2266086;7.000909456;Sur1;90
1788;19.33611063, -99.23381967;7.639909811;Sur1;90
1810;19.3389517, -99.25719069;9.489922907;Sur1;140
1830;19.32591605, -99.28458812;12.70752493;Sur1;140
1840;19.33128454, -99.24806904;9.146368948;Sur1;140
1856;19.3157323, -99.27193346;12.18823728;Sur1;140
1860;19.32203416, -99.2621252;10.94384966;Sur1;140
2060;19.47422035, -99.17805867;10.44301283;Norte2;140
2128;19.50182084, -99.18705462;13.5449291;Norte1;140
2260;19.48906991, -99.18038013;12.09665664;Norte1;140
2400;19.48969933, -99.20459049;12.47828906;Norte1;140
2409;19.4869623, -99.20584306;12.21246678;Norte1;140
2420;19.49835744, -99.20827116;13.5037895;Norte1;140
2440;19.49067076, -99.21172979;12.77000716;Norte1;140
2459;19.48937469, -99.19815256;12.30976367;Norte1;140
2470;19.48304398, -99.19530951;11.56648483;Norte1;140
2500;19.4720945, -99.1699336;10.24213091;Norte2;140
2519;19.48659131, -99.17311186;11.82997775;Norte2;140
2600;19.47561772, -99.1531559;10.91537047;Norte2;140
2640;19.4799337, -99.15633895;11.31000722;Norte2;140
2670;19.47470699, -99.16337749;10.60941886;Norte2;140
2729;19.48116855, -99.19916968;11.43200199;Norte1;140
2760;19.47816913, -99.19703285;11.06249758;Norte1;140
2790;19.47437642, -99.19165156;10.55703755;Norte1;140
2800;19.46455291, -99.16815264;9.425464604;Norte2;140
2810;19.46820295, -99.16344324;9.893348886;Norte2;140
2830;19.46780075, -99.17369766;9.739928923;Norte2;140
2870;19.45955781, -99.17365207;8.824722117;Norte2;90
2960;19.46837347, -99.14670578;10.33006536;Norte2;140
2970;19.46664338, -99.15764906;9.836172074;Norte2;140
3000;19.40274728, -99.15562877;3.429673974;Centro;40
3020;19.39217664, -99.15766466;2.513717908;Centro;40
3104;19.37152803, -99.16974442;1.308778917;Centro;40
3240;19.36401365, -99.17407781;1.858914708;Centro;40
3313;19.36680871, -99.16519577;2.018028009;Centro;40
3320;19.3683643, -99.15758687;2.524712;Centro;40
3340;19.36048626, -99.15886266;2.98510892;Centro;40
3430;19.38758274, -99.14072724;3.998534882;Centro;40
3510;19.3952774, -99.13463568;4.849392381;Centro;40
3620;19.38235371, -99.14581841;3.38946928;Centro;40
3650;19.37604183, -99.15498635;2.466154133;Centro;40
3660;19.3748519, -99.14463968;3.557555474;Centro;40
3700;19.38169732, -99.1882173;1.076777712;Centro;40
3810;19.39365556, -99.17653033;1.493254608;Centro;40
3820;19.39407404, -99.18705801;1.798737524;Centro;40
3840;19.38718857, -99.17779855;0.7660147959;Centro;40
3910;19.37283002, -99.18998582;1.501985625;Centro;40
4000;19.34734114, -99.16225192;4.02294325;Sur2;60
4040;19.34546468, -99.14833228;4.973159115;Sur2;60
4110;19.35805445, -99.17134798;2.572239073;Centro;40
4210;19.35140013, -99.14037928;5.094448267;Sur2;60
4239;19.3569384, -99.12338522;6.296383151;Sur2;90
4240;19.34638378, -99.12772679;6.488860079;Sur2;90
4250;19.34562683, -99.1248106;6.787609788;Sur2;90
4259;19.34783993, -99.11938069;7.135984401;Sur2;90
4300;19.3199225, -99.15966649;6.985886724;Sur2;90
4307;19.32990327, -99.15731895;6.011851614;Sur2;90
4309;19.33134216, -99.15095873;6.141938638;Sur2;90
4320;19.34042271, -99.16606514;4.609632015;Sur2;60
4337;19.336346, -99.1500358;5.703877978;Sur2;60
4440;19.33092335, -99.11434497;8.650339765;Sur2;90
4460;19.32837953, -99.13450199;7.363218686;Sur2;90
4470;19.32614895, -99.12611348;8.121599004;Sur2;90
4480;19.32437001, -99.11846806;8.818608778;Sur2;90
4490;19.32359827, -99.10816999;9.670519142;Sur2;140
4510;19.32123973, -99.18492614;6.607042842;Sur1;90
4535;19.30651568, -99.18208065;8.21572375;Sur1;90
4630;19.31931926, -99.15140629;7.335071664;Sur2;90
4640;19.31779549, -99.14290055;7.868727871;Sur2;90
4660;19.30600875, -99.15938785;8.490320604;Sur2;90
4700;19.30639567, -99.17152885;8.246730994;Sur2;90
4710;19.30418577, -99.16983371;8.507832042;Sur2;90
4718;19.30527947, -99.17340791;8.356598345;Sur2;90
4719;19.30425192, -99.17387954;8.467957992;Sur2;90
4739;19.30394308, -99.16225288;8.651364342;Sur2;90
4800;19.31463683, -99.11810099;9.637799048;Sur2;140
4870;19.31757607, -99.13515767;8.30116474;Sur2;90
4890;19.31354722, -99.12892594;9.03731053;Sur2;140
4909;19.31511565, -99.10313508;10.69260055;Sur2;140
4919;19.3175319, -99.11032497;9.960830397;Sur2;140
4920;19.3079463, -99.12310157;9.898548157;Sur2;140
4929;19.30787312, -99.11993632;10.10208889;Sur2;140
4950;19.30255575, -99.10909751;11.27341401;Sur2;140
5039;19.36932076, -99.30661829;13.54079554;Poniente;140
5060;19.36371374, -99.2842346;11.28954072;Poniente;140
5110;19.38551399, -99.25038375;7.608443468;Poniente;90
5119;19.38067596, -99.25771258;8.355321712;Poniente;90
5120;19.38722727, -99.25675734;8.290673106;Poniente;90
5200;19.36857638, -99.28775106;11.58016415;Poniente;140
5214;19.37797183, -99.28029762;10.72747989;Poniente;140
5230;19.37423715, -99.28861593;11.61663081;Poniente;140
5260;19.36481603, -99.29145074;12.01875766;Poniente;140
5280;19.36439768, -99.29633644;12.53268614;Poniente;140
5348;19.35569449, -99.27141695;10.16859642;Sur1;140
5370;19.3527702, -99.28558983;11.68844024;Sur1;140
5500;19.34447363, -99.29810625;13.20886415;Sur1;140
5600;19.3409164, -99.28417614;11.96299017;Sur1;140
6010;19.43960518, -99.13662381;7.897081292;Centro;40
6050;19.43374787, -99.14431529;6.916598101;Centro;40
6080;19.42603966, -99.13885763;6.539611007;Centro;40
6090;19.42591661, -99.13065466;7.102249451;Centro;40
6140;19.41464233, -99.17636793;3.822360644;Centro;40
6250;19.45664816, -99.13478017;9.62617839;Norte2;140
6270;19.45520579, -99.12774251;9.85952625;Norte2;140
6300;19.44431555, -99.14299167;8.011690651;Norte2;90
6430;19.46175635, -99.14861278;9.569014182;Norte2;140
6450;19.4585698, -99.15644098;8.993181629;Norte2;90
6600;19.42716641, -99.16155702;5.490746439;Centro;40
6720;19.41686352, -99.14893673;5.084815024;Centro;40
6860;19.41012436, -99.13289875;5.781886005;Centro;40
6870;19.41168024, -99.13005946;6.12511179;Centro;40
7460;19.47871725, -99.10266257;13.50031779;Norte2;140
7470;19.47516778, -99.10525733;13.021104;Norte2;140
7754;19.49213114, -99.14730791;12.84587422;Norte2;140
7755;19.49641028, -99.14932145;13.25740708;Norte2;140
7780;19.47368085, -99.14298624;11.01515703;Norte2;140
7820;19.47123411, -99.10905937;12.43324006;Norte2;140
7838;19.46112531, -99.10142768;12.05588301;Norte2;140
7839;19.46618222, -99.09952568;12.60994291;Norte2;140
7890;19.45655629, -99.10621099;11.34292226;Norte2;140
8029;19.38666068, -99.09936233;8.284837608;Oriente;90
8100;19.41139696, -99.06465961;12.38608881;Oriente;140
8200;19.40123843, -99.13106595;5.450981279;Centro;40
8230;19.39585413, -99.12505538;5.822158088;Centro;40
8320;19.40013166, -99.11486121;6.985684804;Oriente;90
8420;19.40472574, -99.08068735;10.56778648;Oriente;140
8510;19.39329458, -99.08533951;9.83200431;Oriente;140
8560;19.39577939, -99.06474104;12.0097172;Oriente;140
8580;19.39052949, -99.06900751;11.49484947;Oriente;140
8610;19.39492041, -99.12121519;6.17983462;Centro;40
8710;19.39631854, -99.11180882;7.173424825;Oriente;90
8720;19.39566824, -99.1066288;7.684542226;Oriente;90
8760;19.38808898, -99.1057055;7.638458198;Oriente;90
8810;19.38647308, -99.12975791;5.112604176;Centro;40
8820;19.38646742, -99.12380694;5.731707133;Centro;40
8910;19.38827045, -99.12025381;6.127615756;Centro;40
9020;19.38536692, -99.079158;10.38921143;Oriente;140
9060;19.36496653, -99.11490089;6.841184939;Oriente;90
9080;19.35918988, -99.12555962;5.986767364;Centro;40
9089;19.36376218, -99.12547965;5.81413683;Centro;40
9099;19.35762355, -99.11943486;6.646757088;Oriente;90
9200;19.35795968, -99.05601488;13.04142498;Oriente;140
9207;19.36928682, -99.05456807;13.01168484;Oriente;140
9210;19.39153737, -99.05442781;13.02773355;Oriente;140
9220;19.38547745, -99.05388208;13.03789547;Oriente;140
9270;19.34697857, -99.05535899;13.39458364;Sur2;140
9280;19.34624547, -99.05175912;13.78009357;Sur2;140
9319;19.38520088, -99.07253563;11.08197518;Oriente;140
9320;19.37365026, -99.06552908;11.82710805;Oriente;140
9330;19.3697341, -99.06971987;11.42509617;Oriente;140
9350;19.35789183, -99.06847656;11.76235631;Oriente;140
9359;19.35777418, -99.06789422;11.82483353;Oriente;140
9420;19.37839552, -99.10519059;7.646431219;Oriente;90
9430;19.37943482, -99.11755708;6.347021013;Oriente;90
9438;19.37624546, -99.11625253;6.498876573;Oriente;90
9440;19.37197818, -99.13017345;5.107615905;Centro;40
9480;19.35794125, -99.13594174;5.069826424;Centro;40
9710;19.34079601, -99.06113899;13.02866815;Sur2;140
9719;19.34151439, -99.06145648;12.97050967;Sur2;140
9740;19.33244156, -99.0608183;13.40169619;Sur2;140
9767;19.32556197, -99.06108814;13.69831735;Sur2;140
9780;19.3194082, -99.06588917;13.577162;Sur2;140
9810;19.3533652, -99.11388852;7.368016337;Sur2;90
9819;19.34779063, -99.11486347;7.55118849;Sur2;90
9820;19.35196169, -99.10056388;8.718958406;Sur2;90
9840;19.34571182, -99.10952192;8.154116349;Sur2;90
9849;19.345151, -99.10339163;8.754121279;Sur2;90
9850;19.33559628, -99.0838337;11.06467;Sur2;140
9858;19.34628135, -99.08108186;10.85401282;Sur2;140
9868;19.32837027, -99.07163563;12.56995419;Sur2;140
9870;19.32745287, -99.10076109;10.01491715;Sur2;140
9889;19.32084357, -99.08191664;12.06041508;Sur2;140
9910;19.31331806, -99.07604606;13.0394957;Sur2;140
9970;19.29932089, -99.07803408;13.82841384;Sur2;140
10130;19.33601099, -99.21169388;6.058734053;Sur1;90
10290;19.32969831, -99.21189544;6.653227479;Sur1;90
10330;19.32052523, -99.2538487;10.36380119;Sur1;140
10360;19.307996, -99.26234824;11.95209249;Sur1;140
10368;19.30714941, -99.25898759;11.75855449;Sur1;140
10378;19.31517286, -99.25014263;10.47112639;Sur1;140
10380;19.31673313, -99.24635859;10.06548115;Sur1;140
10400;19.31834119, -99.22583703;8.520428641;Sur1;90
10500;19.3122523, -99.2364827;9.738154295;Sur1;140
10600;19.30960459, -99.25018653;10.9118169;Sur1;140
10640;19.30390016, -99.25101599;11.43546426;Sur1;140
10650;19.3040911, -99.26043752;12.10452896;Sur1;140
10730;19.30945759, -99.22674439;9.38883508;Sur1;140
10820;19.30657016, -99.23201124;9.963078228;Sur1;140
10900;19.29322128, -99.24631568;12.04379095;Sur1;140
11040;19.42363994, -99.20328181;5.497122283;Poniente;60
11100;19.41054561, -99.2073868;4.5574091;Poniente;60
11200;19.4479168, -99.21363434;8.393025264;Norte1;90
11290;19.4613927, -99.19411377;9.172491495;Norte1;140
11350;19.45476136, -99.16901799;8.333382753;Norte2;90
11360;19.4504863, -99.1655243;7.913843129;Norte2;90
11410;19.45669609, -99.18888267;8.56991195;Norte1;90
11440;19.45042169, -99.19114805;7.9166423;Norte1;90
11450;19.44701412, -99.18941297;7.512786102;Norte1;90
11479;19.45353358, -99.19768348;8.398810111;Norte1;90
11510;19.43628205, -99.20978531;7.058001141;Poniente;90
11530;19.43390914, -99.20444641;6.571740184;Poniente;90
11560;19.43227033, -99.18676125;5.850024273;Centro;40
11580;19.42144365, -99.1879083;4.689708194;Centro;40
11700;19.40335333, -99.24524662;7.498716134;Poniente;90
11860;19.40545617, -99.19288501;3.200046197;Centro;40
11910;19.39218926, -99.24315707;6.954909734;Poniente;90
11920;19.39920561, -99.23804911;6.634017505;Poniente;90
11950;19.39932975, -99.22888618;5.735613555;Poniente;60
14020;19.29869066, -99.18740428;9.127801255;Sur1;140
14030;19.300613, -99.17301064;8.877041816;Sur2;90
14038;19.30078684, -99.17849826;8.842017579;Sur1;90
14070;19.29629676, -99.17508026;9.346396783;Sur2;140
14098;19.28351423, -99.16245041;10.8864118;Sur2;140
14129;19.30959112, -99.21954152;8.987067616;Sur1;90
14130;19.30181619, -99.21957953;9.754276064;Sur1;140
14150;19.30232343, -99.22644892;10.04805818;Sur1;140
14160;19.30092173, -99.22397313;10.05588327;Sur1;140
14200;19.28447984, -99.21910751;11.49273234;Sur1;140
14208;19.28667361, -99.2194336;11.28005774;Sur1;140
14209;19.28111381, -99.22827021;12.22315528;Sur1;140
14240;19.29146239, -99.22329118;10.959607;Sur1;140
14269;19.29026237, -99.17718614;10.01258255;Sur2;140
14273;19.26417235, -99.22884426;13.96961156;Sur1;140
14275;19.26521351, -99.20837132;13.18682221;Sur1;140
14276;19.25995832, -99.19830492;13.54941031;Sur1;140
14300;19.29945391, -99.12681769;10.47500919;Sur2;140
14307;19.29973582, -99.1214206;10.75046419;Sur2;140
14309;19.29899301, -99.12106022;10.84021243;Sur2;140
14326;19.29918097, -99.11846248;10.97574059;Sur2;140
14329;19.29481851, -99.11694108;11.46631337;Sur2;140
14334;19.29750612, -99.1108152;11.59912508;Sur2;140
14335;19.29696233, -99.10645677;11.92973764;Sur2;140
14337;19.29879114, -99.10558395;11.83108843;Sur2;140
14338;19.29745335, -99.10250175;12.15386993;Sur2;140
14339;19.29705596, -99.10429903;12.06559433;Sur2;140
14350;19.30193226, -99.12920126;10.11038588;Sur2;140
14357;19.29556782, -99.13313487;10.53542374;Sur2;140
14408;19.2563874, -99.16329352;13.86572155;Sur2;140
14426;19.27458017, -99.18707291;11.79393198;Sur1;140
14429;19.271926, -99.18622874;12.08152696;Sur1;140
14430;19.27614361, -99.17195816;11.5997725;Sur2;140
14439;19.27181373, -99.17544296;12.06667933;Sur2;140
14449;19.26966755, -99.18169067;12.30810308;Sur1;140
14450;19.26716711, -99.18494825;12.60099188;Sur1;140
14629;19.28304764, -99.16037716;10.97238703;Sur2;140
14630;19.27491163, -99.16549997;11.79294275;Sur2;140
14730;19.27068002, -99.23244818;13.45946992;Sur1;140
14738;19.27204843, -99.23930257;13.6454101;Sur1;140
14740;19.27321444, -99.22628492;12.93841462;Sur1;140
15220;19.45308508, -99.11992216;10.13241979;Norte2;140
15339;19.44413518, -99.10469816;10.46749977;Norte2;140
15380;19.43324126, -99.11335654;8.983088316;Oriente;90
15390;19.43061829, -99.11194309;8.909651276;Oriente;90
15400;19.442113, -99.09734562;10.90355501;Norte2;140
15530;19.43246714, -99.09687902;10.30193388;Oriente;140
15600;19.42512598, -99.06354164;13.00355958;Oriente;140
15670;19.42013735, -99.0721698;11.95644225;Oriente;140
15700;19.4205271, -99.08855818;10.39800475;Oriente;140
15720;19.41631485, -99.08332426;10.71250355;Oriente;140
15850;19.40767592, -99.11814287;6.982545977;Oriente;90
15860;19.41042979, -99.1162783;7.294467107;Oriente;90
15970;19.42087759, -99.11578593;7.937969343;Oriente;90
15980;19.41537907, -99.11656387;7.537283382;Oriente;90
16029;19.264362, -99.13517781;13.65479944;Sur2;140
16034;19.28138629, -99.10879368;13.18334202;Sur2;140
16039;19.27146042, -99.11956165;13.57035154;Sur2;140
9240;19.35708514, -99.06479111;12.1592231;Oriente;140
1010;19.36048047, -99.19406336;2.770834267;Centro;40
1020;19.35680272, -99.18719435;2.78340617;Sur1;60
1048;19.3564367, -99.19486293;3.186022648;Sur1;60
1050;19.34967518, -99.18245238;3.436813643;Sur1;60
1080;19.33984785, -99.20483621;5.303581829;Sur1;60
1089;19.33750876, -99.20315483;5.438374288;Sur1;60
1090;19.337273, -99.19868861;5.251523367;Sur1;60
1100;19.39283045, -99.20500224;3.150716437;Poniente;60
1110;19.39497328, -99.21777321;4.473605628;Poniente;60
1140;19.39650027, -99.19523441;2.547340945;Centro;40
1150;19.39036583, -99.19889319;2.455100383;Centro;40
1170;19.38831296, -99.20661197;3.124596529;Poniente;60
1184;19.38527185, -99.19507093;1.868001886;Centro;40
1220;19.38922729, -99.22850254;5.383350723;Poniente;60
1240;19.38170802, -99.23838875;6.330169687;Poniente;90
1259;19.37984063, -99.23305613;5.769148956;Poniente;60
1269;19.38234384, -99.22679202;5.116839649;Poniente;60
1270;19.37988545, -99.21472638;3.846512972;Poniente;60
1278;19.38172902, -99.22103455;4.510681124;Poniente;60
1285;19.38053006, -99.20854912;3.198364362;Poniente;60
1289;19.38278527, -99.20869748;3.225626844;Poniente;60
1290;19.37482663, -99.22781398;5.254544569;Poniente;60
1296;19.37649653, -99.23266656;5.743738571;Poniente;60
1330;19.37072609, -99.2671354;9.404401639;Poniente;140
1377;19.37197499, -99.24129986;6.698136875;Poniente;90
1379;19.36277773, -99.25054203;7.849266408;Poniente;90
1408;19.37237367, -99.21801324;4.282863449;Poniente;60
1419;19.37930029, -99.20132814;2.443386795;Poniente;60
1460;19.37596704, -99.1952679;1.868474793;Centro;40
1509;19.3594254, -99.23937425;6.838212179;Poniente;90
1510;19.36630506, -99.23739614;6.416107613;Poniente;90
1538;19.36214712, -99.25160122;7.974422328;Poniente;90
1539;19.36236232, -99.24847624;7.651463021;Poniente;90
1548;19.3556782, -99.24239549;7.283402888;Sur1;90
1550;19.35912068, -99.23612063;6.530356785;Poniente;90
1560;19.36256529, -99.23141044;5.934004747;Poniente;60
1569;19.35938644, -99.23303885;6.218811414;Poniente;90
1588;19.34795899, -99.24610635;7.993363411;Sur1;90
1590;19.35396884, -99.24531658;7.639087053;Sur1;90
1620;19.36308946, -99.21379884;4.209515611;Poniente;60
1650;19.35321391, -99.23871479;7.039999176;Sur1;90
1700;19.34230009, -99.2267578;6.630085839;Sur1;90
1730;19.34610417, -99.23393498;6.987223437;Sur1;90
1800;19.3302272, -99.27148526;11.27268189;Sur1;140
1820;19.3433227, -99.25901879;9.436321281;Sur1;140
1849;19.33228522, -99.25360663;9.556486431;Sur1;140
1857;19.31807113, -99.26755303;11.6637731;Sur1;140
1863;19.31190931, -99.27136667;12.39648001;Sur1;140
1900;19.31988769, -99.2070328;7.373704881;Sur1;90
1990;19.30910312, -99.21111938;8.643666749;Sur1;90
2020;19.48663556, -99.17898206;11.82391647;Norte1;140
2070;19.47317976, -99.18552021;10.35690307;Norte1;140
2080;19.46629557, -99.181625;9.569129169;Norte1;140
2120;19.50323489, -99.19239242;13.75165748;Norte1;140
2130;19.49948758, -99.20065292;13.46269486;Norte1;140
2169;19.48979031, -99.19205735;12.26248547;Norte1;140
2240;19.4927258, -99.18249786;12.50938665;Norte1;140
